Categoría,Medicamento,Para qué sirve,Dosis terapéutica,Dosis máxima,Precauciones,Efectos secundarios,Dieta especial
Sistema Renal/Urinario (Reguladores Calcio),Calcitriol,"Hipocalcemia, hiperparatiroidismo secundario (enf. renal crónica).","Variable según niveles de calcio",,"Hipercalcemia, intoxicación por vitamina D, litiasis cálcica, embarazo/lactancia.","Náuseas, debilidad, hipercalcemia. Graves: calcificación de tejidos blandos, insuficiencia renal.","Seguir indicaciones sobre calcio/fósforo."
Sistema Renal/Urinario (Inhibidores de Anhidrasa Carbónica),Acetazolamida,"Glaucoma, mal de altura, epilepsia (adjunto).","250-1000 mg/día",,"Alergia a sulfonamidas, insuficiencia hepática/renal, cirrosis, hipopotasemia, hipercalciuria, embarazo/lactancia.","Hormigueo, fatiga, náuseas, alteraciones del gusto. Graves: acidosis metabólica, nefrolitiasis, agranulocitosis.","Mantener hidratación adecuada."
Sistema Metabólico (Hormonas Tiroideas),Levotiroxina,"Hipotiroidismo.","25-150 mcg/día",,"Alergia a levotiroxina, tirotoxicosis no tratada, insuficiencia suprarrenal no tratada, enfermedad cardíaca no controlada.","Dosis alta: palpitaciones, nerviosismo, insomnio, sudoración, temblor, pérdida peso.","Tomar en ayunas (30-60 min antes desayuno), evitar alimentos/calcio/hierro cerca."
Sistema Metabólico (Hipouricemiantes),Alopurinol,"Gota crónica, hiperuricemia, prevención nefrolitiasis úrica.","100-300 mg/día","800 mg/día","Alergia a alopurinol, interacción con azatioprina/mercaptopurina (disminuir dosis), insuficiencia renal/hepática, embarazo/lactancia.","Náuseas, diarrea, somnolencia, rash. Graves: síndrome de hipersensibilidad (Fiebre, rash, eosinofilia, hepatotoxicidad), SJS/NET.","Buena hidratación. Moderar purinas (mariscos, vísceras) y alcohol."
Sistema Metabólico (Hipouricemiantes - Gota Aguda),Colchicina,"Gota aguda, prevención de ataques.","Aguda: 0,5-0,6 mg según esquema; Prevención: 0,5-0,6 mg/día",,"Alergia a colchicina, interacción con estatinas/claritromicina/verapamilo, insuficiencia renal/hepática, embarazo/lactancia.","Diarrea, náuseas, vómitos, dolor abdominal. Graves: toxicidad (sobredosis): falla multiorgánica, depresión médula ósea.","Mantener buena hidratación, evitar exceso alcohol."
Antidiabéticos (Biguanidas),Metformina,"Diabetes tipo 2.","500-850 mg 1-3 veces/día","2550 mg/día","Alergia a metformina, acidosis metabólica, insuficiencia renal (TFG <30), insuficiencia cardíaca descompensada, embarazo/lactancia.","Náuseas, diarrea, dolor abdominal, gases, sabor metálico. Graves: acidosis láctica (raro, mortal).","Tomar con alimentos para disminuir molestias digestivas."
Antidiabéticos (Sulfonilureas),Glibenclamida,"Diabetes tipo 2.","2,5-5 mg/día","20 mg/día","Alergia a sulfonilureas/sulfonamidas, diabetes tipo 1, cetoacidosis, insuficiencia renal/hepática, embarazo/lactancia.","Hipoglicemia, mareos, sudoración, aumento peso. Graves: hipoglicemia severa, porfiria, anemia hemolítica (G6PD).","No saltarse comidas."
Antidiabéticos (Sulfonilureas),Glicazida,"Diabetes tipo 2.","30-120 mg/día","120 mg/día","Alergia a sulfonilureas/sulfonamidas, diabetes tipo 1, cetoacidosis, insuficiencia renal/hepática, embarazo/lactancia.","Hipoglicemia, náuseas, mareos. Graves: hipoglicemia severa.","Mantener horarios regulares de alimentación."
Antidiabéticos (Sulfonilureas),Glimepirida,"Diabetes tipo 2.","1-4 mg/día","8 mg/día","Alergia a sulfonilureas/sulfonamidas, diabetes tipo 1, cetoacidosis, insuficiencia renal/hepática, embarazo/lactancia.","Hipoglicemia, mareos, náuseas. Graves: hipoglicemia severa.","No omitir comidas."
Antidiabéticos (Inhibidores DPP-4),Sitagliptina,"Diabetes tipo 2.","100 mg 1 vez/día","100 mg/día","Alergia a sitagliptina, antecedentes de pancreatitis, insuficiencia renal (ajustar dosis), embarazo/lactancia.","Cefalea, náuseas, infecciones respiratorias. Graves: pancreatitis, insuficiencia renal, artralgias severas.","Seguir plan alimenticio para diabetes."
Antidiabéticos (Inhibidores DPP-4),Vildagliptina,"Diabetes tipo 2.","50 mg cada 12h","100 mg/día","Alergia a vildagliptina, antecedentes de pancreatitis, insuficiencia hepática, embarazo/lactancia.","Mareos, náuseas, cefalea. Graves: pancreatitis, hepatotoxicidad (control enzimas hepáticas).","Mantener dieta para diabetes."
Antidiabéticos (Inhibidores DPP-4),Linagliptina,"Diabetes tipo 2.","5 mg 1 vez/día","5 mg/día","Alergia a linagliptina, antecedentes de pancreatitis, embarazo/lactancia.","Tos, cefalea, náuseas. Graves: pancreatitis, artralgias.","Seguir dieta para diabetes."
Antidiabéticos (Inhibidores SGLT2),Dapagliflozina,"Diabetes tipo 2, insuficiencia cardíaca, enfermedad renal crónica.","5-10 mg 1 vez/día","10 mg/día","Alergia a dapagliflozina, antecedentes de infecciones urinarias/genitales recurrentes, insuficiencia renal (TFG <25), embarazo/lactancia.","Poliuria, infecciones urinarias/genitales, mareos, deshidratación. Graves: cetoacidosis euglucémica, fascitis necrotizante perineal.","Mantener buena hidratación."
Antidiabéticos (Inhibidores SGLT2),Empagliflozina,"Diabetes tipo 2, insuficiencia cardíaca, enfermedad renal crónica.","10-25 mg 1 vez/día","25 mg/día","Alergia a empagliflozina, antecedentes de infecciones urinarias/genitales recurrentes, insuficiencia renal (TFG <30), embarazo/lactancia.","Infecciones genitales, micción frecuente, mareos. Graves: cetoacidosis euglucémica, fascitis necrotizante perineal.","Mantener buena hidratación."
Antidiabéticos (Análogos GLP-1 - Obesidad/Diabetes),Liraglutida,"Diabetes tipo 2, obesidad (IMC ≥30 o ≥27 con comorbilidad).","Obesidad: 0,6-3 mg/día; Diabetes: 0,6-1,8 mg/día","3 mg/día","Alergia a liraglutida, antecedentes de pancreatitis, neoplasia tiroidea (carcinoma medular), embarazo/lactancia.","Náuseas, vómitos, diarrea, disminución apetito. Graves: pancreatitis, lesión renal aguda, colecistitis.","Comidas livianas al iniciar tratamiento."
Antidiabéticos (Análogos GLP-1 - Obesidad/Diabetes),Semaglutida,"Diabetes tipo 2, obesidad.","Obesidad: 0,25-2,4 mg/semana; Diabetes: 0,25-1 mg/semana","2,4 mg/semana (Obesidad)","Alergia a semaglutida, antecedentes de pancreatitis, neoplasia tiroidea (carcinoma medular), embarazo/lactancia.","Náuseas, vómitos, diarrea, dolor abdominal. Graves: pancreatitis, colecistitis, retinopatía diabética.","Comer porciones pequeñas."
Antiobesidad (Inhibidor de Lipasas),Orlistat,"Obesidad, sobrepeso (IMC ≥30 o ≥28 con comorbilidad).","120 mg con comidas principales","360 mg/día","Alergia a orlistat, malabsorción crónica, colecistopatía, embarazo/lactancia.","Diarrea grasa, flatulencia, urgencia fecal. Graves: hepatotoxicidad, litiasis renal (oxalato), deficiencia vitaminas liposolubles (ADEK).","Reducir consumo de grasas excesivas."
Vitaminas y Suplementos,Calcio + Vitamina D,"Prevención/tratamiento deficiencia calcio, osteoporosis.","Calcio: 500-1200 mg/día; Vit D: 400-2000 UI/día",,"Hipercalcemia, nefrolitiasis, insuficiencia renal, hiperparatiroidismo, sarcoidosis.","Estreñimiento, gases, náuseas, distensión abdominal. Graves: hipercalcemia (confusión, vómitos).","Dieta equilibrada. Evitar tomar junto a levotiroxina/bisfosfonatos/antibióticos."
Vitaminas y Suplementos,Ácido fólico,"Deficiencia de folato, prevención defectos tubo neural, anemia megaloblástica.","0,4-5 mg/día",,"Alergia ácido fólico, anemia no diagnosticada, deficiencia B12 (riesgo enmascarar), embarazo/lactancia.","Generalmente bien tolerado. Náuseas, distensión abdominal, sabor metálico. Graves: reacciones alérgicas (raro).","Mantener alimentación balanceada (verduras de hoja verde, legumbres)."
